dep,arr,TF,TS-
BKK,HAN,110,1
BKK,SGN,100,1
BMV,SGN,55,1
BMV,VII,85,1
CXR,HAN,110,1
CXR,SGN,70,1
CXR,VII,95,1
CXR,WUH,205,1
DAD,HAN,80,2
DAD,SGN,80,4
DLI,HAN,110,1
DLI,SGN,50,1
HAN,BKK,110,1
HAN,CXR,110,1
HAN,DAD,80,2
HAN,DLI,115,1
HAN,HKG,110,1
HAN,KWE,110,1
HAN,PQC,130,1
HAN,SGN,125,7
HAN,UIH,95,1
HKG,HAN,120,1
HPH,SGN,120,2
PXU,SGN,70,1
HUI,SGN,85,1
KWE,HAN,115,1
PQC,HAN,130,1
PQC,SGN,65,5
SGN,BKK,90,1
SGN,BMV,55,1
SGN,CXR,70,2
SGN,DAD,80,4
SGN,DLI,50,1
SGN,HAN,125,7
SGN,HPH,115,2
SGN,HUI,85,1
SGN,PQC,65,5
SGN,PXU,70,1
SGN,SIN,120,1
SGN,TBB,70,1
SGN,THD,120,2
SGN,UIH,60,1
SGN,VCL,80,1
SGN,VDH,95,1
SGN,VII,110,3
SIN,SGN,125,1
TBB,SGN,70,1
THD,SGN,120,2
UIH,HAN,95,1
UIH,SGN,70,1
VCL,SGN,80,1
VDH,SGN,100,1
VII,BMV,85,1
VII,CXR,95,1
VII,SGN,110,3
WUH,CXR,205,1
